#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,gap12,gap13,gap14,gap15
-1,15,0,1.93333,,0,,1,,,,24681,,46,0.0625,0,1175,,0,15,33130,4686,,,,,30,1280,47751,29771,6220,2564,36305,1344,1126,1361,4664,1429,130,2713,98
-1,15,0,1.53333,,0,,1,,,,3622,,482,0.0625,0,638,,1,13,4562,3288,,,,,208747,8141,2339,2623,4988,7246,932,5538,8574,9030,14926,27913,3098,2804,8454
-1,13,2,1.46154,0,3,0,2,1,290665,,38461,400,115,0.214286,554,1046,0,2,12,57087,34381,,207,593,,8,140809,18813,2864,21378,7416,4704,18428,3747,23622,19853,4868,9343,9248,2708
-1,0,15,,1,,2,,1,255544,,,2840,,16,1573,0,1,,0,,,36,342,867,6514,36,13,238073,17798,60394,145033,4458,3345,158255,1481,1437,1247,99,67570,69163
-1,12,3,1.75,0,0,0,0,1,384473,,6318,249,70,0.307692,443,996,0,1,12,11226,5965,,248.667,,,0,54886,1508,312,2190,891,469,1517,472,983,859,2124,1396,564,867
-1,10,5,2.4,1,2,1,2,1,570,,24477,145,3770,0.545455,658,1046,0,0,10,34434,35215,,145,,,0,5,2,128,66180,1413,178271,14449,1131,80631,49167,121070,9865,120130,521094
-1,14,1,1.85714,1,1,0,1,1,40,,16172,8,363,0.133333,173,681,0,2,14,25109,21738,8,,,,0,4154,8895,137426,20,68809,8573,10412,5304,4771,9929,1662,11320,4242,8802
-1,7,8,1.57143,1,1,1,1,1,17073,,151555,556,485,1.125,443,1771,1,1,7,153404,150533,24.75,312,929.5,2177,7,1293,5794,1688,7,35,7,7016,32,158,1085,270,1151,230,51
-1,14,1,1.57143,0,1,0,1,1,21784,,1504,9,21159,0.133333,460,1044,0,2,12,2382,999,9,,,,21921,5966,9840,4062,76376,4260,89629,12905,8416,16356,3924,1675,14425,1174,176
-1,2,13,3,1,3,1,0,1,36621,,3549,2730,16,4.66667,559,1018,1,1,2,9561,6034,32,76,1020.8,7554,0,79,107485,280,21659,14,20,76,6881,5,2790,22412,5,26,19275
-1,2,13,2.5,1,0,1,0,1,3933,,15309,4590,1209,4.66667,578,805,1,4,2,50366,50366,28.2,285,1171.5,18775.7,1479,6195,2407,10,242,1298,23,2284,741,33,1690,1138,108,19,44
-1,14,1,3.5,1,6,0,6,2,185,,8883,22083,10759,0.133333,506,763,0,1,14,22563,21884,,,,22083,0,13,1319,4391,146,11198,18849,121,25652,8648,7225,9861,21930,3048,9764
-1,0,15,,1,,2,,1,16160,,,2239,,16,356,0,1,,0,,,1,82.6667,746,4686.33,4,15,9,4,518,2070,9,407,374,2105,407,9,336,7,3855
-1,10,5,2.9,1,2,0,1,1,27914,,21200,277,926,0.545455,549,1332,1,1,10,41068,14215,,190,625,,0,30109,17498,74,9716,7537,4416,34270,26004,212,3239,77286,42794,39145,3003
-1,0,15,,1,,1,,1,16273,,,2752,,16,684,0,1,,0,,,24.5,219.333,781.5,6494.67,13,2267,63,90,659,2048,22,228,1214,40,648,2,710,683,234
-1,13,2,2.92308,2,2,0,2,1,1168,,28113,327,183,0.214286,711,1045,0,4,13,80837,61977,,327,,,1,597,2296,37,3416,6654,250,1193,15984,2003,130204,72361,196271,224156,40
-1,4,11,1.25,1,1,1,0,1,2759,,6467,2178,3421,2.4,423,707,1,0,4,9126,9126,52,237.333,604.5,5482,16,12,97,187,42,1630,185,28,2521,3298,5296,562,2067,1492,43
-1,12,3,3.16667,1,3,0,3,2,4722,,11321,233,125948,0.307692,575,794,0,1,12,22771,21796,,233,,,6,110855,26077,84,21869,8337,2620,7438,202108,44902,17033,4980,6480,69074,38047
-1,0,15,,1,,1,,1,66259,,,706,,16,338,0,1,,0,,,32.3333,216.5,714.286,4631,8,23,6858,152383,3,19,10,1462,151563,79713,5,189495,50,6,1008
-1,4,11,2,1,2,1,1,1,537917,,15280,3478,266,2.4,949,1319,0,1,4,23073,14243,24,194.75,585.5,9071.25,128684,4905,84459,102776,21,86879,5,22,82930,26641,2731,98534,12568,44174,70844
-1,7,8,1.57143,0,1,0,1,1,246,,5872,1024,338,1.125,675,564,0,2,6,7117,7189,29.3333,193.5,775,6163,99,4,184182,1405,37521,47992,9,1636,7,22,588,253,20282,2875,32163
-1,1,14,3,1,7,2,0,1,142,,4597,2474,89,7.5,636,1023,1,1,1,8517,8517,1,290.75,1049.8,9409,5,194845,49,9,337,9,191,16,70,590,131,11,2015,3,824
-1,15,0,1.4,,0,,1,,,,2505,,21,0.0625,0,12026,,1,13,3107,3100,,,,,2,3905,142,29,1467,96,1397,1387,32,1238,93,140,4161,143,1209
-1,1,14,1,4,1,7,0,2,26776,,4219,2537,85,7.5,549,2662,1,0,1,4219,4219,,186.667,1130,3945.43,66295,160820,56861,53510,9947,17034,327,4397,293,107321,11318,15,21759,17284,656
-1,14,1,2.5,0,2,0,2,1,50,,57370,374,6,0.133333,249,502,1,1,14,104644,59537,,374,,,0,66238,50,32,19870,21610,166,2762,1911,26,12956,1174,154505,13073,1756
-1,12,3,2.41667,2,1,2,4,1,53,,18207,250,47,0.307692,383,696,0,1,12,24975,25745,13,165,572,,10,1380,7571,2851,8712,18758,3902,21,406,8278,17,10008,5877,1581,14571
-1,0,15,,2,,2,,2,403,,,716,,16,639,0,3,,0,,,11.25,251.833,1150.33,2868.5,297,83,60,13,8,7,990,227,632,644,161,168,72,1047,23
-1,0,15,,8,,19,,2,4833,,,7539,,16,676,0,1,,0,,,18,312.143,839.8,53343,275597,52034,24,92249,171375,142380,3216,125162,114757,302408,8801,9,70440,1602,102
-1,3,12,4,6,6,7,8,2,18625,,36594,4503,25,3.25,925,953,1,1,3,84214,5555,36,372.75,1517,9297.6,0,4318,7097,100834,503,16830,3018,27307,12825,2133,5051,1412,23,6407,1079
-1,13,2,2.15385,2,1,0,1,1,3,,17477,2547,12,0.214286,257,728,2,1,13,39099,36763,,,569,4525,81,289,2243,963,245,83,1355,196,122,98,153,108,1824,64,52
-1,1,14,2,3,3,3,0,2,283,,4275,5634,151,7.5,434,1511,1,0,1,8469,8469,31,,754,7341.33,11952,1028,30262,115290,53770,7909,15997,4854,8150,8741,44538,24689,83867,2833,12458
-1,14,1,2.71429,0,3,0,3,1,470693,,15549,1814,3820,0.133333,2393,1235,0,2,12,40512,14595,,,,1814,7,89308,117051,34520,2519,8441,149626,7233,3510,140518,8569,2899,7461,1093,17762
-1,8,7,1.875,1,1,1,0,1,34,,27147,325,142,0.888889,500,934,1,2,8,31913,29560,9.5,251,752,,5033,125,26,3873,1818,1464,2236,509,9949,16744,14880,60,47218,108626,2468
-1,1,14,5,0,11,1,0,1,11743,,2937,487,8147,7.5,479,703,1,6,1,12424,12424,10.8333,267,973,3465,85355,5387,18783,33256,33,52,6,5,24,3,8465,11,8,11,191
-1,5,10,5.4,2,6,2,4,2,21,,12865,6031,5,1.83333,413,1207,0,0,5,26726,15494,,177.5,738.5,9746.33,9,28,4,13,20,3,35,32,28,1089,3205,5773,4241,7114,8
-1,3,12,3.66667,14,2,40,1,4,6094,,2033,3094,1124,3.25,949,1342,1,0,3,4576,917,23,,1011.75,4994.5,0,1287,284,4,35,1018,9,9,11,523,39,192,14,784,8
