#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,gap12,gap13,gap14
-1,14,0,1.71429,,0,,1,,,,6654,,690,0.0666667,0,1276,,2,14,10486,8802,,,,,41,4285,2947,2818,8506,123,11622,1847,5467,1522,226,2748,944,62
-1,13,1,1.38462,0,1,0,1,1,4351,,4625,179,300,0.142857,855,991,1,1,11,5641,5052,,179,,,12558,65124,1503,2847,2952,3656,2070,5650,13818,11772,139,11557,35492,3161
-1,0,14,,1,,1,,2,2573,,,703,,15,669,0,1,,0,,,24.8,225.5,738.5,5855,0,154,1191,287232,76,7,2838,5128,2833,29,590,33,2847,2224
-1,4,10,5,0,3,0,4,1,3209,,14218,1743,15,2.2,450,770,1,1,4,40827,40472,11,303,1203.5,3519.67,24,37173,8,11698,5734,5578,5776,4485,28463,43,902,12236,869,60
-1,12,2,3.16667,0,1,0,2,1,272,,38418,1252,5,0.230769,845,382,0,1,12,87491,48327,,,1251.5,,16,11,30,1364,941,70,27,134,4,1333,84,55,171,5476
-1,14,0,1.21429,,0,,1,,,,8853,,31746,0.0666667,0,477,,1,10,17135,,,,,,5,8486,7227,15870,190,8973,8460,12940,7166,11581,352830,18474,141724,28058
-1,11,3,3.27273,0,2,0,4,1,8334,,42461,12186,41,0.333333,629,1568,1,1,11,100980,83927,,145,713,35701,14,110,271,41642,1075,1603,7508,3826,2865,20330,29032,11340,23434,1207
-1,2,12,1.5,1,0,1,0,1,108698,,4085,1064,140,4.33333,803,1577,1,1,2,4567,3602,35.25,175,1256.5,3182,547,20000,733061,1418,29,9851,30,10276,50,11,4318,17,1329,3713
-1,14,0,1.85714,,0,,1,,,,8142,,10,0.0666667,0,778,,1,14,12816,9890,,,,,363,526,184,116,125,475,92,657,58,57,312,651,2025,26
-1,1,13,3,2,6,2,0,2,22734,,2110,2794,28,7,528,646,1,6,1,3336,2992,8.5,125,976.667,6067.2,1328,204222,4,188156,75017,57552,239,302858,15417,63261,36014,13288,2459,3226
-1,3,11,4,2,12,1,14,2,34456,,25763,4951,28,3,467,903,1,0,3,50049,40923,32,68,804.667,10384,0,74629,200658,68,753,19,996,3985,8,103,3,1430,3,1243
-1,9,5,1.66667,1,1,1,1,1,16560,,4003,109,327,0.6,513,1371,0,2,8,15112,2155,26,129.25,,,0,71239,40013,351004,1868,134250,677,33872,80230,2,89305,47851,110721,8643
-1,1,13,3,5,0,10,0,2,20366,,611,2136,1192,7,670,3279,1,0,1,1255,546,40,215.5,749,6555.33,1124,9,10,124,2997,10,15,6855,5,53511,20,2799,5892,13
-1,7,7,2,1,1,1,2,1,677,,7264,422,43,1,547,747,2,1,7,10770,7476,25.3333,164,904,,21463,90864,100696,104,2599,1642,68,4088,18,1406,14818,45947,19889,11851
-1,4,10,0.75,1,1,2,1,1,129,,23474,243,90719,2.2,381,1628,1,2,3,23474,23474,6.4,311.667,733,,18,18311,48,19712,29418,110478,3,10,83595,7,1161,3345,139,33
-1,10,4,1.3,0,1,0,1,1,56,,19236,317,64,0.454545,89,549,1,2,9,23834,15616,43,176,524,,0,1934,598,231,4144,7350,2338,62,33395,16166,11195,26207,22,1931
-1,2,12,4.5,1,3,2,1,1,34566,,6789,4017,428,4.33333,544,809,1,0,2,19073,19073,24,102,971.333,9022,98980,1321,27,481,230157,82552,202570,7204,68804,25418,18,5382,4624,1073
-1,1,13,2,0,0,1,0,1,22716,,10005,637,4,7,357,1747,1,9,1,18136,18136,28,179.75,901.6,2974,0,3,187,124,466,49,7770,748,9,1473,2101,2211,15,2872
-1,13,1,3.07692,2,2,0,3,5,124,,14284,11221,11364,0.142857,397,657,0,1,13,35278,9058,,,,11221,0,3173,67,3971,3217,160806,1386,436,52,124,1105,42,340,5391
-1,2,12,5,0,3,1,2,1,77797,,12548,1306,10297,4.33333,441,874,1,1,2,48152,8524,32,,718.667,3019.75,105053,39995,183234,73,5,3897,1645,4,31578,4658,26871,76483,187314,105178
-1,14,0,1.92857,,1,,2,,,,12260,,17,0.0666667,0,1446,,3,14,23157,9182,,,,,0,52,9883,211,1217,110,6276,1109,408,950,44,1563,1007,1283
-1,12,2,0.916667,0,0,0,0,1,50,,3079,63,31,0.230769,483,1045,0,1,7,3701,3497,63,,,,95049,531338,48861,2766,1721,53,51,335,2299,1435,47,384,844,232
-1,0,14,,0,,1,,1,58994,,,735,,15,373,0,2,,0,,,6,224.429,906.667,2991,2,13,37,7,15,21,7,17,506,674,26,6,10,9
-1,3,11,2.33333,0,0,1,0,1,10,,48419,941,8,3,355,1459,1,2,3,162373,162285,16.25,188,1544.5,3318,7177,11,10,21,5792,600,8,11,38,7969,51,6922,1450,28
-1,0,14,,2,,1,,2,66345,,,6922,,15,996,0,1,,0,,,7.33333,156.333,832.25,23273.2,0,157,143,87,7,119,553,55,20,265,28785,57,40495,119
-1,1,13,2,3,8,2,0,2,9113,,244,2711,35433,7,387,2232,1,0,1,451,,,203,510,4772.86,37,161,44,394684,65883,144278,2635,16053,34382,5766,21877,24837,10693,13692
-1,3,11,3.33333,2,9,2,11,2,9577,,1353,1757,2521,3,860,2037,2,0,3,1654,,61,202,976,4404.33,35596,123971,18578,447793,17,4,252257,19085,25659,21476,33523,38437,1484,67932
-1,14,0,1.92857,,1,,1,,,,12973,,15,0.0666667,0,2254,,2,13,19849,21954,,,,,11,29018,1206,18734,50619,47639,22694,10011,1408,28,16175,4030,347,1325
-1,3,11,2,1,5,0,6,1,63865,,9040,1815,611,3,764,2560,1,2,3,20589,1892,50,232.25,691,4400.75,36,362,19904,37629,58801,4257,7192,1797,18352,223313,29,7134,17,4659
-1,4,10,1.75,1,2,1,2,1,485,,21070,711,236,2.2,447,1912,1,1,4,68868,1163,19.5,224.5,488,2032,0,21,8617,2756,20228,25,58749,95259,259234,240198,553510,911,36383,4
