#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,gap12,gap13
-1,13,0,3.84615,,2,,2,,,,33858,,6,0.0714286,0,1086,,2,13,97018,52586,,,,,0,4612,23,22025,15676,3837,3126,7510,2964,654,2658,16616,1964
-1,0,13,,4,,11,,2,9954,,,1252,,14,327,0,1,,0,,,8,227.4,1094,2923.5,72023,48662,2734,39072,2769,14945,31503,38342,20597,1312,5620,4162,130
-1,4,9,5.75,3,5,3,5,3,1479,,9214,992,38,2,438,1216,1,0,4,26736,3349,35,113,1165.67,2128,143,1417,1291,214,1138,318,4081,2,2271,9,59,29,423
-1,11,2,1,0,0,0,1,1,9980,,17564,83,1397,0.25,609,2307,0,1,8,23136,34079,,83,,,21,397840,49,119,17003,39,18825,8421,1621,21,20123,1135,26245
-1,1,12,1,1,9,1,0,1,11580,,20913,803,16,6.5,682,936,2,2,1,20913,20913,32.6667,316.8,524,3454.5,4336,2789,11,1486,4265,28,1045,1337,101,24,382,961,472
-1,13,0,1,,0,,1,,,,26248,,23818,0.0714286,0,300,,0,12,26346,48781,,,,,87366,8672,3235,5411,1738,4244,4203,1336,41925,41922,34099,13242,10310
-1,10,3,2.4,0,1,0,1,1,2048,,55483,127,517,0.363636,934,565,0,0,10,75793,53574,18,181,,,0,219171,1448,5160,1238,6558,894,5841,26395,40106,962,68991,75760
-1,1,12,13,3,63,2,0,2,202,,7078,4568,19,6.5,555,1231,0,0,1,56799,1296,,,1074.75,6315.12,49,41,172,37,866,60,10,67,12,193,49,179,52
-1,0,13,,4,,6,,2,54,,,900,,14,624,0,2,,0,,,26.75,206,1023,2907.33,614620,1641,9968,123622,18411,2968,382,100,4208,923,652,22,31564
-1,9,4,2.44444,0,1,0,2,1,69,,7762,423,60,0.5,479,806,0,0,9,18342,1071,,96,1402,,1364,119058,111,11,324,5873,142104,2,36,82144,36360,30151,13024
-1,1,12,2,1,0,2,0,1,71,,5671,68,66,6.5,547,588,2,1,1,7066,4275,18.3636,,609,,0,14,10086,16,13,43,17,162,17,45,23,53,735
-1,4,9,1.25,1,1,1,1,1,4868,,7480,2141,16217,2,527,402,1,0,4,9053,9053,20.5,,912,5192,0,359989,28,24818,77242,41701,36,219352,490752,8626,18,14579,63
-1,0,13,,1,,1,,2,28753,,,978,,14,455,0,1,,0,,,15,203,847,4583.5,66,164,24,22103,354,21,210,6,6,647,9,53,544
-1,13,0,1.53846,,1,,2,,,,21474,,21,0.0714286,0,682,,1,13,23637,26905,,,,,0,45,21,157,37,1212,441,1285,135,157,64,2780,156
-1,0,13,,4,,6,,3,7,,,1870,,14,406,0,1,,0,,,44.6667,84,807.5,4172.6,161269,7193,38854,2880,17,11541,5719,1458,8601,7231,55,11489,25885
-1,6,7,2,1,1,1,1,1,442440,,42777,2829,30738,1.14286,1406,1187,0,1,6,108955,108921,,78,918.667,5655.67,124044,111748,232518,54647,21642,3349,856,6698,30692,279,8549,25,15731
-1,2,11,0.5,1,1,2,1,1,203916,,4180,623,686,4,363,2928,1,4,1,4180,,18.6,195.333,667,2751.5,18709,7192,36710,921,18,3,14,4307,619,10,2187,1259,14650
-1,1,12,1,1,1,1,0,1,67657,,9728,4581,131,6.5,264,462,1,0,1,9728,9728,12.6667,221,1434,11760.8,2572,8,1144,119,2832,15,7220,76,28,490,2779,56,29
-1,11,2,3.36364,5,8,4,10,4,252545,,48721,9011,1978,0.25,426,1217,0,2,11,117317,62871,,,,9010.5,29,79812,31570,57611,44525,31735,20261,38886,7141,18904,38735,891,75135
-1,0,13,,4,,7,,2,253064,,,4259,,14,1099,0,1,,0,,,28,128,626.333,10106,0,11,6209,3795,5,9,19,28029,83334,57201,154428,87329,118215
-1,3,10,4,1,1,1,2,1,466,,9454,2749,9,2.75,423,1317,1,0,3,28150,3589,50,265.5,1046,4963.2,0,68845,7425,4119,21727,5818,8383,26327,7071,2949,10183,3851,2
-1,3,10,1.33333,2,0,5,0,1,129263,,818,343,7,2.75,417,1405,1,1,2,1330,305,33.6,335,1129.5,,8379,1342,5903,14341,56445,2967,22577,6222,1256,1499,988,7758,2491
-1,1,12,2,1,2,1,0,1,293,,7670,252,16,6.5,474,613,1,0,1,15159,,27,115,744,1750,178388,138,23,69,2798,11,138,5723,31,2642,25,172,75970
-1,8,5,1.625,0,0,0,0,1,15350,,5830,58,61314,0.666667,335,701,1,0,8,7284,6859,5.33333,136.5,,,11,64963,805,147,81962,5675,7,7570,1209,19,6451,72887,25889
-1,1,12,2,1,1,1,0,2,14348,,7092,472,6,6.5,1110,837,1,0,1,9955,9955,23.25,108.25,1110.33,1807,26,1778,1777,1098,1615,726,4320,2902,1309,5216,32404,13018,2788
-1,2,11,4,4,5,6,1,2,35218,,9822,3792,20,4,1924,2481,1,0,2,24564,27158,33,192.5,728,7961.8,46,279969,20,2883,73,71,20,965,139,96,37,160,1353
-1,5,8,1.2,1,1,1,2,1,3959,,5875,1619,106647,1.5,304,464,1,3,5,5972,5972,40.25,327,498,5983.5,0,34,30,11368,193702,8,20336,64859,5,34,55965,50353,19
-1,2,11,5.5,27,2,66,2,5,11763,,81614,14032,11,4,1226,773,2,0,2,240593,233230,,,,14032.1,0,199,2286,4494,242,2127,35150,101,8964,1335,1281,1678,101959
-1,0,13,,2,,2,,2,33379,,,4276,,14,739,0,1,,0,,,,247.5,1033,7241,41,153907,75187,12,44,90697,7,28,43,37,16992,24,13
-1,9,4,1.55556,1,0,0,1,1,2092,,3640,212,19263,0.5,434,1257,1,2,8,5350,5204,35,94,624,,0,11563,6776,11417,16119,6108,868,249719,32967,7255,53352,78569,9567
-1,2,11,1,0,0,0,0,1,459092,,2359,907,1574,4,699,1115,0,3,1,2897,,29,96,765,2979.67,400941,10,4,2920,10,28,28,631,4555,10,12035,39042,24
-1,3,10,2,1,2,2,2,1,36675,,5011,5931,151,2.75,210,612,1,1,3,6113,5023,63,227,1472.67,16149,6322,1537,64,1416,16,794,7258,1747,46,995,30,5758,3218
-1,9,4,2.44444,0,1,0,1,2,177489,,8350,141,399,0.5,589,866,0,2,9,22134,17263,,141,,,0,56,5684,5326,78206,3953,474,1047,12754,5994,265478,186314,3512
-1,1,12,1,1,0,0,0,1,250,,7566,2302,209,6.5,478,1213,1,0,1,7566,7566,23,115.6,1047,6233.25,172849,1340,3,101,13,2363,1779,7,14835,8,222,1690,13544
-1,2,11,2.5,2,1,2,1,2,134,,36642,546,33,4,505,1042,1,2,2,44314,44314,26.8,168.667,772,2299,22,20083,24514,11,10,4,27,98,5347,38,18,62,24
-1,9,4,2.22222,0,1,0,2,1,224677,,83020,200,30,0.5,939,1104,1,1,8,148358,12782,49,,651,,12,119723,1035,231341,136678,4431,11792,149698,1419,38,134021,216971,167354
-1,5,8,1.8,0,0,1,3,1,137652,,17908,3081,595,1.5,362,1675,1,2,4,46238,5862,1,271,1269.5,21027,0,117657,209,12887,29,17084,13003,63,21570,69,4526,1216,219
-1,0,13,,3,,4,,2,9311,,,3417,,14,779,0,1,,0,,,25.6667,158,,5502.75,4658,309,4207,4071,1219,244,1209,284,1068,1849,5638,1281,355
-1,9,4,2.33333,1,2,2,4,2,156481,,16607,4002,30337,0.5,508,1316,3,0,9,26038,20686,11,323,1057,14615,0,94441,11040,218702,193173,130039,13637,8972,1270,342744,95367,73296,31711
-1,13,0,2.76923,,2,,3,,,,34402,,6,0.0714286,0,398,,2,13,62827,34208,,,,,0,1223,435,45,995,434,41,901,7096,4770,2163,3159,4762
-1,6,7,1.83333,0,0,1,0,1,12,,8381,480,30,1.14286,912,3101,1,3,4,16036,8811,2,115.5,1042,,51,36798,1346,2078,821,1902,2427,21,15802,327450,631,236399,7465
-1,0,13,,1,,2,,2,2465,,,310,,14,360,0,0,,0,,,24.1429,257.8,,2575,43218,1245,217,26,5389,90858,13940,4860,5,7161,739,13278,5851
-1,0,13,,1,,2,,1,94358,,,361,,14,585,0,1,,0,,,13,191.667,810,,0,73954,13032,146893,1722,102432,214698,6801,154,6019,5540,29763,472
-1,10,3,2,1,1,0,2,1,10,,43655,430,2392,0.363636,344,728,1,1,10,52534,51655,25,358,906,,1,64,155658,4146,6,24,4750,25902,120579,89706,55610,7519,18356
-1,9,4,2.66667,1,3,2,3,1,145074,,36914,755,261,0.5,969,1523,2,1,9,103651,69347,21,,999.667,,13,20055,1753,1,24298,41503,39,22097,805,219,11,18925,1276
-1,0,13,,1,,1,,1,321,,,343,,14,457,0,2,,0,,,4,244.571,912.333,,56,10,7,8,142,46,27,237585,73,41,24,35902,14361
-1,13,0,2.69231,,1,,1,,,,12122,,19,0.0714286,0,799,,2,12,19585,18409,,,,,36,64,6028,973,1716,1324,1727,1381,1578,1527,40058,3030,2747
-1,7,6,5.57143,2,6,2,7,2,23098,,14692,2072,4,0.875,333,439,0,0,7,40978,9789,,252.5,,3285.67,9203,3353,9954,170167,1047,266,6,41490,76175,70944,1151,10517,4732
-1,0,13,,7,,10,,3,85798,,,2566,,14,586,0,2,,0,,,,122.5,1183,3262.56,2196,13,192,29,402,1645,18,17,37173,41,6869,10588,2027
-1,3,10,1,0,0,1,0,1,2853,,1071,404,5,2.75,277,480,1,4,2,1682,460,17.5,212.4,979.333,,46,22734,4858,664,17,4,140,41,2424,223,48,45,10
-1,13,0,1.84615,,0,,1,,,,18623,,6,0.0714286,0,807,,2,12,30979,12404,,,,,620834,1495,444,27159,1307,2631,19222,82922,34990,1275,66,5583,222
-1,6,7,1.66667,0,1,1,1,1,1529,,13204,825,9,1.14286,322,1138,0,1,4,25072,31941,28.25,69,672,4921,18705,33802,45222,118013,10634,11821,3318,6705,2104,1447,11388,245,4441
