#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,gap12,gap13,gap14,gap15,gap16,gap17,gap18,gap19
-1,8,11,1.25,1,1,1,1,1,47,,38477,183,1338,1.33333,318,841,1,2,7,42243,3588,36.8571,213,662,,6,33254,16066,58820,261962,21324,91,11,4,3,182,20,9,13,2851,8619,2481,36,9036
-1,5,14,2.2,1,1,1,1,1,26066,,39735,2447,83,2.5,1221,1847,2,2,5,64221,60465,,283.6,1153.5,5645,17,1061,14232,95151,346,14,786,25,24,16147,73576,30,6,9,1362,2350,5,403,994
-1,19,0,1.94737,,0,,0,,,,43877,,8,0.05,0,615,,2,17,78343,49548,,,,,19,2960,55,31410,9960,90,311052,1697,4690,1093,1036,304,61,77,2322,5004,2460,4143,69
-1,17,2,1.76471,0,0,0,1,1,665,,6169,33,801,0.166667,309,1229,0,1,16,17005,5048,33,,,,19,26823,1316,6289,156,1522,25621,40225,1046,1650,7751,14,65,2359,245,104,15989,60132,87
-1,18,1,1.61111,0,1,0,1,1,1547840,,20556,882,6531,0.105263,684,1084,0,2,15,32902,43906,,,882,,9,29482,4064,2813,1099,118832,31362,1428,3238,2585,6057,5337,10435,21165,4931,2153,619,31578,21417
-1,2,17,3,1,4,2,0,1,3856,,1368,1681,5131,6,568,1330,0,1,2,2339,1078,6.6,287,697.833,5946.75,1001,1397,4894,39586,10230,53474,255122,1067,4471,4,5,3945,5,255,361,83,1383,1068,20
-1,0,19,,2,,2,,1,24915,,,1171,,20,761,0,2,,0,,,30.6,269.625,558,3877.8,9,29622,56,10169,14015,3184,1095,1557,20,1796,13,26317,21512,5429,142159,162609,3038,11301,62869
-1,2,17,6.5,2,44,2,42,2,2278,,7578,2443,14,6,913,823,2,4,2,20120,8059,,237.75,1318,5224.33,17200,15822,73721,30447,20225,119,98268,222261,33130,120853,27725,6889,36125,66864,8121,20867,25643,17,59981
-1,4,15,2,1,2,1,1,1,41147,,12342,1397,23,3.2,240,1258,1,1,4,17784,13616,22.25,112,1005,4662.75,54093,1052,18853,21355,29,70082,216,2594,1555,2733,1864,8,511,21,4,778,37537,8166,482
-1,0,19,,1,,1,,1,29,,,488,,20,482,0,1,,0,,,9,215.875,765,1843.5,3757,1140,44,56,102,198,1117,258,1520,1188,87,262,1118,135,1243,21,186,2626,2906
-1,0,19,,0,,1,,1,360,,,13554,,20,414,0,0,,0,,,28,346.5,687.75,25400.2,518,36,23,60312,7217,26,13,506,1337,1084,37,435,53,744,121,21,508,733,42
-1,10,9,2,1,2,1,2,1,5083,,13620,1181,7185,0.909091,997,1534,1,1,10,18369,15220,21,151,476,4689,3849,2036,19401,150135,1291,7449,6780,22029,42697,24799,11186,462,5862,3749,1362,4546,1880,4455,10744
-1,6,13,1.66667,0,1,1,0,1,107,,21778,487,123,2,581,1251,1,2,6,35073,11186,24.25,140.5,901.25,2063,1268,21436,39013,7252,1064,1483,58,25,11,23,1220,189,160,1509,28471,30409,1247,44686,3047
-1,2,17,0.5,0,1,1,0,1,270,,697,260,1288,6,532,1963,2,3,1,697,697,15.5,143,896.5,,7214,1288,139399,379,1010,91,6,56,267,867,1627,151,115,387,3465,10276,2981,1474,8
-1,0,19,,3,,4,,1,270,,,2074,,20,491,0,1,,0,,,18.8571,94.3333,619.2,8972.25,7755,8293,8728,2379,22349,2856,3865,433,621,344,1946,2782,15,1092,1571,21043,744,5263,1956
-1,0,19,,1,,1,,1,18734,,,555,,20,1071,0,1,,0,,,29,288,795,2588.5,193368,15,10,12,109348,50325,13,12,24,8,68828,21421,17,10282,7271,9973,42,2648,9
-1,11,8,3.36364,5,2,6,2,2,98394,,10815,2380,6015,0.75,645,1335,1,1,11,20321,14377,34,,982,4014.5,7510,38606,69488,4343,1379,40147,130950,104112,12,15348,10105,252,9754,1406,10,98,7165,39169,1449
-1,0,19,,3,,4,,2,2692,,,3595,,20,413,0,2,,0,,,29.6,298.5,953.5,7967.62,587966,556,13,14,1342,51,12,574,1133,187,145,612,37,378,64,86,323,658,1354
-1,8,11,2.75,3,3,3,3,1,31748,,9006,3519,23594,1.33333,614,1353,1,1,8,13718,8482,37.5,,972.2,8442,569,0,58,95583,9504,2724,24,16,12338,9463,8405,25779,68886,184601,47165,95,585,15103,8054
-1,1,18,1,1,0,2,0,2,68,,98316,298,52,9.5,791,814,1,0,1,98316,98316,22.3,200,797,2539,230520,984,293,34,9,267,11,19,112,78,61,2119,83,50,3,65,141,1427,108
