#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,gap12,gap13,gap14,gap15,gap16,gap17,gap18,gap19,gap20
-1,19,1,2.10526,2,1,0,3,3,2,,13502,147,8850,0.1,199,528,0,1,17,24385,9829,,147,,,0,10999,5687,2929,3737,1801,9022,735,4754,3789,352,1036,2,298,1686,2801,2851,26,1457,84
-1,11,9,1.72727,1,2,1,1,2,131391,,11925,434,21493,0.833333,620,1101,0,1,11,20669,12223,15,80,1228.67,,208989,56055,12989,127751,44386,23,98,100,7081,1630,1182,55,12,108,7032,29,103,45,1357,44
-1,7,13,1.42857,0,2,1,3,1,1336,,23862,1063,49,1.75,203,559,1,0,7,27438,24315,12.25,196,902.2,3019,4,2462,142,75,185,105,15197,12007,3,16,6,27,695,4,34,1904,23,4257,151,181
-1,20,0,2.05,,1,,1,,,,13664,,63,0.047619,0,1653,,1,18,24507,18399,,,,,29,1049,155597,18627,3302,8181,10222,6114,2532,11895,16914,4563,17059,50443,7911,2066,1791,11282,24428,255
-1,12,8,1.75,1,1,1,1,1,5435,,2136,59,138,0.692308,833,5241,2,2,11,3461,1878,14.8,132.667,,,42,11390,28862,12737,118,1601,938,103,32,45,371,3919,65,6,50,69,80,18,2611,85
-1,5,15,4.2,2,19,3,27,2,9037,,20171,3973,159,2.66667,778,623,0,0,5,61719,20815,21.3333,210,,10973.2,9,2086,1127,7062,589,926,337,2985,6490,50492,81942,159727,141,79706,3794,150137,266564,23,33,123
-1,0,20,,1,,2,,2,1202,,,7565,,21,224,0,1,,0,,,24,,870.4,13797.3,10,6,414,6,642,12,817,250,86,1008,3869,38,699542,15,24,18,27,11,102,2142
-1,2,18,1,1,3,1,3,1,7594,,300,2448,45,6.33333,1155,1761,1,1,1,584,16,29.75,194,765.667,12791.7,2,124038,2781,33059,7316,19,15,4079,2,14,36071,2905,136840,1304,186949,11736,9,25879,11570,22981
-1,19,1,2.63158,0,2,0,3,1,404,,27335,1468,202,0.1,326,1053,0,1,19,57472,40055,,,1468,,0,16612,6545,7469,404,1058,4003,8812,11426,53077,2909,367,1142,12925,26474,12376,1562,134,8653,8911
-1,20,0,1.7,,1,,1,,,,4679,,73,0.047619,0,3027,,2,20,5164,4807,,,,,37325,1361,1107,2007,5752,52,1144,8904,11078,1710,4580,1144,2638,46,142,3344,1026,314,35432,83
-1,14,6,1.71429,1,1,1,2,1,4537,,5709,907,2297,0.466667,305,1070,1,1,12,15176,20885,3,246,1277,3424,0,13049,135293,201778,31120,30397,2897,4,102461,37077,7753,81953,4218,4442,14126,10073,41635,24916,31510,18309
-1,4,16,1,1,1,3,1,1,15064,,2075,2488,71,3.4,930,833,3,0,3,2209,2999,20.2,198.5,875.333,11353,92168,47590,1503,28504,7,31,1428,166,2790,488,13885,11648,4048,4605,1085,235,61,14,1477,51
-1,13,7,2.69231,0,3,1,4,1,84872,,22243,842,2215,0.571429,444,653,0,1,13,45163,23675,,260,581,3369,8799,63587,2017,39317,130855,13189,11263,6,6318,41269,61984,83,9741,1539,4583,31653,1038,39125,14470,15916
-1,4,16,1.75,0,1,1,1,1,10679,,2552,7997,15457,3.4,656,1072,1,3,4,2922,1059,15,398,1025.6,40520.7,44,1534,159,5317,18,123,1258,18,2924,10009,260690,77883,1164,225,178,18436,35891,8964,1111,288
-1,0,20,,6,,14,,2,1215,,,1733,,21,1489,0,2,,0,,,19.5,291,959.429,4498.5,79423,995,385,1558,3947,1782,2720,19922,88015,20,195,418,2351,1777,3568,1521,238,37,56,140
-1,5,15,0.6,1,0,1,1,1,409832,,5537,3715,73,2.66667,661,875,0,3,3,5537,9540,,170.5,1016.5,15637,4,73421,15734,20027,24,163,1613,4387,12976,38848,1615,806,19994,7614,10363,6450,9016,9777,2042,26974
-1,14,6,3.71429,1,4,1,3,1,9973,,10072,11540,4563,0.466667,285,254,0,0,14,32838,13380,,,648,13718,2,10418,564,11,104,26,16,125,598,13,23,799,6442,8653,4375,501,14864,2499,17,43589
